SA4_NAME16	HoursWorked.min	IndustryOfEmployment	workers
Hobart	41	Manufacturing	780
Hobart	41	Mining	52
Hobart	41	Other services	338
Hobart	41	Professional scientific and technical services	602
Hobart	41	Public administration and safety	1062
Hobart	41	Rental hiring and real estate services	136
Hobart	41	Retail trade	750
Hobart	41	Transport postal and warehousing	449
Hobart	41	Wholesale trade	221
Hobart	49		274
Hobart	49	Accommodation and food services	728
Hobart	49	Administrative and support services	199
Hobart	49	Agriculture forestry and fishing	270
Hobart	49	Arts and recreation services	201
Hobart	49	Construction	1020
Hobart	49	Education and training	1314
Hobart	49	Electricity gas water and waste services	275
Hobart	49	Financial and insurance services	255
Hobart	49	Health care and social assistance	1215
Hobart	49	Information media and telecommunications	174
Hobart	49	Manufacturing	681
Hobart	49	Mining	42
Hobart	49	Other services	418
Hobart	49	Professional scientific and technical services	824
Hobart	49	Public administration and safety	985
Hobart	49	Rental hiring and real estate services	221
Hobart	49	Retail trade	835
Hobart	49	Transport postal and warehousing	599
Hobart	49	Wholesale trade	260
Launceston and North East			436
Launceston and North East		Accommodation and food services	67
Launceston and North East		Administrative and support services	29
Launceston and North East		Agriculture forestry and fishing	51
Launceston and North East		Arts and recreation services	5
Launceston and North East		Construction	41
Launceston and North East		Education and training	33
Launceston and North East		Electricity gas water and waste services	7
Launceston and North East		Financial and insurance services	8
Launceston and North East		Health care and social assistance	77
Launceston and North East		Information media and telecommunications	3
Launceston and North East		Manufacturing	38
Launceston and North East		Mining	5
Launceston and North East		Other services	18
Launceston and North East		Professional scientific and technical services	14
Launceston and North East		Public administration and safety	25
Launceston and North East		Rental hiring and real estate services	3
Launceston and North East		Retail trade	67
Launceston and North East		Transport postal and warehousing	34
Launceston and North East		Wholesale trade	8
Launceston and North East	0		99
Launceston and North East	0	Accommodation and food services	187
Launceston and North East	0	Administrative and support services	51
Launceston and North East	0	Agriculture forestry and fishing	133
Launceston and North East	0	Arts and recreation services	32
Launceston and North East	0	Construction	102
Launceston and North East	0	Education and training	200
Launceston and North East	0	Electricity gas water and waste services	32
Launceston and North East	0	Financial and insurance services	67
Launceston and North East	0	Health care and social assistance	467
Launceston and North East	0	Information media and telecommunications	20
Launceston and North East	0	Manufacturing	134
Launceston and North East	0	Mining	13
Launceston and North East	0	Other services	60
Launceston and North East	0	Professional scientific and technical services	80
Launceston and North East	0	Public administration and safety	164
Launceston and North East	0	Rental hiring and real estate services	36
Launceston and North East	0	Retail trade	236
Launceston and North East	0	Transport postal and warehousing	116
Launceston and North East	0	Wholesale trade	50
Launceston and North East	1		216
Launceston and North East	1	Accommodation and food services	1486
Launceston and North East	1	Administrative and support services	285
Launceston and North East	1	Agriculture forestry and fishing	348
Launceston and North East	1	Arts and recreation services	227
Launceston and North East	1	Construction	197
Launceston and North East	1	Education and training	711
Launceston and North East	1	Electricity gas water and waste services	19
Launceston and North East	1	Financial and insurance services	77
Launceston and North East	1	Health care and social assistance	861
Launceston and North East	1	Information media and telecommunications	75
Launceston and North East	1	Manufacturing	287
Launceston and North East	1	Mining	12
Launceston and North East	1	Other services	303
Launceston and North East	1	Professional scientific and technical services	260
Launceston and North East	1	Public administration and safety	184
Launceston and North East	1	Rental hiring and real estate services	69
Launceston and North East	1	Retail trade	1389
Launceston and North East	1	Transport postal and warehousing	199
Launceston and North East	1	Wholesale trade	123
Launceston and North East	16		134
Launceston and North East	16	Accommodation and food services	690
Launceston and North East	16	Administrative and support services	189
Launceston and North East	16	Agriculture forestry and fishing	255
Launceston and North East	16	Arts and recreation services	125
Launceston and North East	16	Construction	165
Launceston and North East	16	Education and training	800
Launceston and North East	16	Electricity gas water and waste services	35
Launceston and North East	16	Financial and insurance services	125
Launceston and North East	16	Health care and social assistance	1395
Launceston and North East	16	Information media and telecommunications	55
Launceston and North East	16	Manufacturing	316
Launceston and North East	16	Mining	13
Launceston and North East	16	Other services	235
Launceston and North East	16	Professional scientific and technical services	224
Launceston and North East	16	Public administration and safety	295
Launceston and North East	16	Rental hiring and real estate services	53
Launceston and North East	16	Retail trade	904
Launceston and North East	16	Transport postal and warehousing	195
Launceston and North East	16	Wholesale trade	78
Launceston and North East	25		171
Launceston and North East	25	Accommodation and food services	586
Launceston and North East	25	Administrative and support services	180
Launceston and North East	25	Agriculture forestry and fishing	369
Launceston and North East	25	Arts and recreation services	144
Launceston and North East	25	Construction	292
Launceston and North East	25	Education and training	768
Launceston and North East	25	Electricity gas water and waste services	42
Launceston and North East	25	Financial and insurance services	181
Launceston and North East	25	Health care and social assistance	1837
Launceston and North East	25	Information media and telecommunications	53
Launceston and North East	25	Manufacturing	389
Launceston and North East	25	Mining	14
Launceston and North East	25	Other services	253
Launceston and North East	25	Professional scientific and technical services	265
Launceston and North East	25	Public administration and safety	433
Launceston and North East	25	Rental hiring and real estate services	86
Launceston and North East	25	Retail trade	1033
Launceston and North East	25	Transport postal and warehousing	240
Launceston and North East	25	Wholesale trade	139
Launceston and North East	35		308
Launceston and North East	35	Accommodation and food services	449
Launceston and North East	35	Administrative and support services	247
Launceston and North East	35	Agriculture forestry and fishing	381
Launceston and North East	35	Arts and recreation services	178
Launceston and North East	35	Construction	616
Launceston and North East	35	Education and training	989
Launceston and North East	35	Electricity gas water and waste services	242
Launceston and North East	35	Financial and insurance services	382
Launceston and North East	35	Health care and social assistance	1541
Launceston and North East	35	Information media and telecommunications	179
Launceston and North East	35	Manufacturing	1210
Launceston and North East	35	Mining	39
Launceston and North East	35	Other services	409
Launceston and North East	35	Professional scientific and technical services	483
Launceston and North East	35	Public administration and safety	883
Launceston and North East	35	Rental hiring and real estate services	178
Launceston and North East	35	Retail trade	1296
Launceston and North East	35	Transport postal and warehousing	414
Launceston and North East	35	Wholesale trade	445
Launceston and North East	40		256
Launceston and North East	40	Accommodation and food services	274
Launceston and North East	40	Administrative and support services	145
Launceston and North East	40	Agriculture forestry and fishing	562
Launceston and North East	40	Arts and recreation services	114
Launceston and North East	40	Construction	1034
Launceston and North East	40	Education and training	681
Launceston and North East	40	Electricity gas water and waste services	199
Launceston and North East	40	Financial and insurance services	279
Launceston and North East	40	Health care and social assistance	1047
Launceston and North East	40	Information media and telecommunications	94
Launceston and North East	40	Manufacturing	837
Launceston and North East	40	Mining	70
Launceston and North East	40	Other services	353
Launceston and North East	40	Professional scientific and technical services	375
Launceston and North East	40	Public administration and safety	532
Launceston and North East	40	Rental hiring and real estate services	118
Launceston and North East	40	Retail trade	637
Launceston and North East	40	Transport postal and warehousing	383
Launceston and North East	40	Wholesale trade	330
Launceston and North East	41		110
Launceston and North East	41	Accommodation and food services	205
Launceston and North East	41	Administrative and support services	75
Launceston and North East	41	Agriculture forestry and fishing	310
Launceston and North East	41	Arts and recreation services	50
Launceston and North East	41	Construction	458
Launceston and North East	41	Education and training	433
Launceston and North East	41	Electricity gas water and waste services	108
Launceston and North East	41	Financial and insurance services	97
Launceston and North East	41	Health care and social assistance	475
Launceston and North East	41	Information media and telecommunications	76
Launceston and North East	41	Manufacturing	622
Launceston and North East	41	Mining	52
Launceston and North East	41	Other services	183
Launceston and North East	41	Professional scientific and technical services	214
Launceston and North East	41	Public administration and safety	230
Launceston and North East	41	Rental hiring and real estate services	62
Launceston and North East	41	Retail trade	468
Launceston and North East	41	Transport postal and warehousing	293
Launceston and North East	41	Wholesale trade	200
Launceston and North East	49		184
Launceston and North East	49	Accommodation and food services	422
Launceston and North East	49	Administrative and support services	109
Launceston and North East	49	Agriculture forestry and fishing	1020
Launceston and North East	49	Arts and recreation services	85
Launceston and North East	49	Construction	541
Launceston and North East	49	Education and training	647
Launceston and North East	49	Electricity gas water and waste services	116
Launceston and North East	49	Financial and insurance services	120
Launceston and North East	49	Health care and social assistance	633
Launceston and North East	49	Information media and telecommunications	54
Launceston and North East	49	Manufacturing	604
Launceston and North East	49	Mining	58
Launceston and North East	49	Other services	232
Launceston and North East	49	Professional scientific and technical services	334
Launceston and North East	49	Public administration and safety	256
Launceston and North East	49	Rental hiring and real estate services	135
Launceston and North East	49	Retail trade	608
Launceston and North East	49	Transport postal and warehousing	490
Launceston and North East	49	Wholesale trade	229
South East			89
South East		Accommodation and food services	21
South East		Administrative and support services	3
South East		Agriculture forestry and fishing	39
South East		Arts and recreation services	5
South East		Construction	6
South East		Education and training	8
South East		Health care and social assistance	9
South East		Manufacturing	9
South East		Mining	4
South East		Professional scientific and technical services	4
South East		Public administration and safety	4
South East		Rental hiring and real estate services	4
South East		Retail trade	12
South East		Transport postal and warehousing	4
South East	0		26
South East	0	Accommodation and food services	65
South East	0	Administrative and support services	13
South East	0	Agriculture forestry and fishing	72
South East	0	Arts and recreation services	13
South East	0	Construction	27
South East	0	Education and training	28
South East	0	Electricity gas water and waste services	3
South East	0	Financial and insurance services	3
South East	0	Health care and social assistance	30
South East	0	Manufacturing	32
South East	0	Mining	4
South East	0	Other services	3
South East	0	Professional scientific and technical services	19
South East	0	Public administration and safety	22
South East	0	Rental hiring and real estate services	7
South East	0	Retail trade	33
South East	0	Transport postal and warehousing	12
South East	0	Wholesale trade	4
South East	1		51
South East	1	Accommodation and food services	272
South East	1	Administrative and support services	86
South East	1	Agriculture forestry and fishing	168
South East	1	Arts and recreation services	49
South East	1	Construction	52
South East	1	Education and training	121
South East	1	Electricity gas water and waste services	9
South East	1	Financial and insurance services	8
South East	1	Health care and social assistance	92
South East	1	Information media and telecommunications	11
South East	1	Manufacturing	90
South East	1	Mining	3
South East	1	Other services	42
South East	1	Professional scientific and technical services	77
South East	1	Public administration and safety	37
South East	1	Rental hiring and real estate services	18
South East	1	Retail trade	158
South East	1	Transport postal and warehousing	58
South East	1	Wholesale trade	22
South East	16		34
South East	16	Accommodation and food services	138
South East	16	Administrative and support services	40
South East	16	Agriculture forestry and fishing	170
South East	16	Arts and recreation services	41
South East	16	Construction	52
South East	16	Education and training	134
South East	16	Electricity gas water and waste services	5
South East	16	Financial and insurance services	14
South East	16	Health care and social assistance	119
South East	16	Information media and telecommunications	8
South East	16	Manufacturing	39
South East	16	Other services	24
South East	16	Professional scientific and technical services	45
South East	16	Public administration and safety	55
South East	16	Rental hiring and real estate services	10
South East	16	Retail trade	102
South East	16	Transport postal and warehousing	46
South East	16	Wholesale trade	16
South East	25		35
South East	25	Accommodation and food services	124
South East	25	Administrative and support services	26
South East	25	Agriculture forestry and fishing	203
South East	25	Arts and recreation services	48
South East	25	Construction	83
South East	25	Education and training	153
South East	25	Electricity gas water and waste services	3
South East	25	Financial and insurance services	10
South East	25	Health care and social assistance	162
South East	25	Information media and telecommunications	12
South East	25	Manufacturing	82
South East	25	Mining	3
South East	25	Other services	26
South East	25	Professional scientific and technical services	50
South East	25	Public administration and safety	66
South East	25	Rental hiring and real estate services	10
South East	25	Retail trade	129
South East	25	Transport postal and warehousing	38
South East	25	Wholesale trade	14
South East	35		41
South East	35	Accommodation and food services	109
South East	35	Administrative and support services	16
South East	35	Agriculture forestry and fishing	266
South East	35	Arts and recreation services	52
South East	35	Construction	84
South East	35	Education and training	115
South East	35	Electricity gas water and waste services	28
South East	35	Financial and insurance services	10
South East	35	Health care and social assistance	101
South East	35	Information media and telecommunications	4
South East	35	Manufacturing	118
South East	35	Other services	33
South East	35	Professional scientific and technical services	25
South East	35	Public administration and safety	111
South East	35	Rental hiring and real estate services	17
South East	35	Retail trade	78
South East	35	Transport postal and warehousing	30
South East	35	Wholesale trade	29
South East	40		47
South East	40	Accommodation and food services	70
South East	40	Administrative and support services	28
South East	40	Agriculture forestry and fishing	539
South East	40	Arts and recreation services	36
South East	40	Construction	122
South East	40	Education and training	82
South East	40	Electricity gas water and waste services	30
South East	40	Financial and insurance services	5
South East	40	Health care and social assistance	65
South East	40	Information media and telecommunications	7
South East	40	Manufacturing	110
South East	40	Mining	6
South East	40	Other services	43
South East	40	Professional scientific and technical services	39
South East	40	Public administration and safety	67
South East	40	Rental hiring and real estate services	23
South East	40	Retail trade	54
South East	40	Transport postal and warehousing	41
South East	40	Wholesale trade	32
South East	41		13
South East	41	Accommodation and food services	41
South East	41	Administrative and support services	7
South East	41	Agriculture forestry and fishing	230
South East	41	Arts and recreation services	25
South East	41	Construction	61
South East	41	Education and training	52
South East	41	Electricity gas water and waste services	14
South East	41	Financial and insurance services	10
South East	41	Health care and social assistance	30
South East	41	Information media and telecommunications	3
South East	41	Manufacturing	54
South East	41	Mining	3
South East	41	Other services	11
South East	41	Professional scientific and technical services	27
South East	41	Public administration and safety	32
South East	41	Rental hiring and real estate services	7
South East	41	Retail trade	40
South East	41	Transport postal and warehousing	21
South East	41	Wholesale trade	11
South East	49		44
South East	49	Accommodation and food services	161
South East	49	Administrative and support services	14
South East	49	Agriculture forestry and fishing	569
South East	49	Arts and recreation services	32
South East	49	Construction	111
South East	49	Education and training	82
South East	49	Electricity gas water and waste services	18
South East	49	Financial and insurance services	3
South East	49	Health care and social assistance	40
South East	49	Information media and telecommunications	6
South East	49	Manufacturing	99
South East	49	Mining	12
South East	49	Other services	33
South East	49	Professional scientific and technical services	31
South East	49	Public administration and safety	39
South East	49	Rental hiring and real estate services	15
South East	49	Retail trade	87
South East	49	Transport postal and warehousing	55
South East	49	Wholesale trade	15
West and North West			340
West and North West		Accommodation and food services	47
West and North West		Administrative and support services	15
West and North West		Agriculture forestry and fishing	68
West and North West		Arts and recreation services	8
West and North West		Construction	31
West and North West		Education and training	32
West and North West		Electricity gas water and waste services	3
West and North West		Financial and insurance services	4
West and North West		Health care and social assistance	59
West and North West		Manufacturing	33
West and North West		Mining	28
West and North West		Other services	18
West and North West		Professional scientific and technical services	12
West and North West		Public administration and safety	17
West and North West		Retail trade	51
West and North West		Transport postal and warehousing	29
West and North West		Wholesale trade	12
West and North West	0		80
West and North West	0	Accommodation and food services	161
West and North West	0	Administrative and support services	45
West and North West	0	Agriculture forestry and fishing	144
West and North West	0	Arts and recreation services	22
West and North West	0	Construction	79
West and North West	0	Education and training	144
West and North West	0	Electricity gas water and waste services	22
West and North West	0	Financial and insurance services	30
West and North West	0	Health care and social assistance	338
West and North West	0	Information media and telecommunications	13
West and North West	0	Manufacturing	182
West and North West	0	Mining	77
West and North West	0	Other services	51
West and North West	0	Professional scientific and technical services	46
West and North West	0	Public administration and safety	129
West and North West	0	Rental hiring and real estate services	16
West and North West	0	Retail trade	190
West and North West	0	Transport postal and warehousing	179
West and North West	0	Wholesale trade	35
West and North West	1		201
West and North West	1	Accommodation and food services	1077
West and North West	1	Administrative and support services	254
West and North West	1	Agriculture forestry and fishing	317
West and North West	1	Arts and recreation services	119
West and North West	1	Construction	157
West and North West	1	Education and training	433
West and North West	1	Electricity gas water and waste services	12
West and North West	1	Financial and insurance services	50
West and North West	1	Health care and social assistance	582
West and North West	1	Information media and telecommunications	27
West and North West	1	Manufacturing	289
West and North West	1	Mining	27
West and North West	1	Other services	229
West and North West	1	Professional scientific and technical services	163
West and North West	1	Public administration and safety	141
West and North West	1	Rental hiring and real estate services	49
West and North West	1	Retail trade	1162
West and North West	1	Transport postal and warehousing	190
West and North West	1	Wholesale trade	71
West and North West	16		106
West and North West	16	Accommodation and food services	481
West and North West	16	Administrative and support services	169
West and North West	16	Agriculture forestry and fishing	274
West and North West	16	Arts and recreation services	46
West and North West	16	Construction	133
West and North West	16	Education and training	578
West and North West	16	Electricity gas water and waste services	13
West and North West	16	Financial and insurance services	78
West and North West	16	Health care and social assistance	934
West and North West	16	Information media and telecommunications	29
West and North West	16	Manufacturing	252
West and North West	16	Mining	30
West and North West	16	Other services	183
West and North West	16	Professional scientific and technical services	133
West and North West	16	Public administration and safety	226
West and North West	16	Rental hiring and real estate services	42
West and North West	16	Retail trade	728
West and North West	16	Transport postal and warehousing	209
West and North West	16	Wholesale trade	69
West and North West	25		143
West and North West	25	Accommodation and food services	431
West and North West	25	Administrative and support services	157
West and North West	25	Agriculture forestry and fishing	370
West and North West	25	Arts and recreation services	41
West and North West	25	Construction	200
West and North West	25	Education and training	616
West and North West	25	Electricity gas water and waste services	36
West and North West	25	Financial and insurance services	71
West and North West	25	Health care and social assistance	1318
West and North West	25	Information media and telecommunications	32
West and North West	25	Manufacturing	324
West and North West	25	Mining	22
West and North West	25	Other services	201
West and North West	25	Professional scientific and technical services	162
West and North West	25	Public administration and safety	277
West and North West	25	Rental hiring and real estate services	34
West and North West	25	Retail trade	698
West and North West	25	Transport postal and warehousing	217
West and North West	25	Wholesale trade	80
West and North West	35		223
West and North West	35	Accommodation and food services	335
West and North West	35	Administrative and support services	283
West and North West	35	Agriculture forestry and fishing	438
West and North West	35	Arts and recreation services	54
West and North West	35	Construction	438
West and North West	35	Education and training	653
West and North West	35	Electricity gas water and waste services	131
West and North West	35	Financial and insurance services	140
West and North West	35	Health care and social assistance	1042
West and North West	35	Information media and telecommunications	69
West and North West	35	Manufacturing	951
West and North West	35	Mining	82
West and North West	35	Other services	382
West and North West	35	Professional scientific and technical services	295
West and North West	35	Public administration and safety	641
West and North West	35	Rental hiring and real estate services	121
West and North West	35	Retail trade	886
West and North West	35	Transport postal and warehousing	300
West and North West	35	Wholesale trade	234
West and North West	40		229
West and North West	40	Accommodation and food services	184
West and North West	40	Administrative and support services	148
West and North West	40	Agriculture forestry and fishing	551
West and North West	40	Arts and recreation services	57
West and North West	40	Construction	782
West and North West	40	Education and training	424
West and North West	40	Electricity gas water and waste services	102
West and North West	40	Financial and insurance services	96
West and North West	40	Health care and social assistance	615
West and North West	40	Information media and telecommunications	41
West and North West	40	Manufacturing	904
West and North West	40	Mining	123
West and North West	40	Other services	297
West and North West	40	Professional scientific and technical services	225
West and North West	40	Public administration and safety	340
West and North West	40	Rental hiring and real estate services	63
West and North West	40	Retail trade	474
West and North West	40	Transport postal and warehousing	343
West and North West	40	Wholesale trade	250
West and North West	41		101
West and North West	41	Accommodation and food services	151
West and North West	41	Administrative and support services	85
West and North West	41	Agriculture forestry and fishing	290
West and North West	41	Arts and recreation services	16
West and North West	41	Construction	378
West and North West	41	Education and training	278
West and North West	41	Electricity gas water and waste services	83
West and North West	41	Financial and insurance services	32
West and North West	41	Health care and social assistance	266
West and North West	41	Information media and telecommunications	25
West and North West	41	Manufacturing	631
West and North West	41	Mining	409
West and North West	41	Other services	148
West and North West	41	Professional scientific and technical services	92
West and North West	41	Public administration and safety	206
West and North West	41	Rental hiring and real estate services	48
West and North West	41	Retail trade	311
West and North West	41	Transport postal and warehousing	265
West and North West	41	Wholesale trade	132
West and North West	49		147
West and North West	49	Accommodation and food services	332
West and North West	49	Administrative and support services	128
West and North West	49	Agriculture forestry and fishing	1068
West and North West	49	Arts and recreation services	40
West and North West	49	Construction	433
West and North West	49	Education and training	416
West and North West	49	Electricity gas water and waste services	81
West and North West	49	Financial and insurance services	41
West and North West	49	Health care and social assistance	394
West and North West	49	Information media and telecommunications	24
West and North West	49	Manufacturing	548
West and North West	49	Mining	535
West and North West	49	Other services	206
West and North West	49	Professional scientific and technical services	181
West and North West	49	Public administration and safety	177
West and North West	49	Rental hiring and real estate services	88
West and North West	49	Retail trade	402
West and North West	49	Transport postal and warehousing	649
West and North West	49	Wholesale trade	169
Migratory - Offshore - Shipping (Tas.)	0	Agriculture forestry and fishing	3
Migratory - Offshore - Shipping (Tas.)	1		3
Migratory - Offshore - Shipping (Tas.)	35	Agriculture forestry and fishing	3
Migratory - Offshore - Shipping (Tas.)	35	Transport postal and warehousing	4
Migratory - Offshore - Shipping (Tas.)	40	Agriculture forestry and fishing	3
Migratory - Offshore - Shipping (Tas.)	41	Agriculture forestry and fishing	3
Migratory - Offshore - Shipping (Tas.)	49	Agriculture forestry and fishing	4
Migratory - Offshore - Shipping (Tas.)	49	Mining	4
Migratory - Offshore - Shipping (Tas.)	49	Transport postal and warehousing	16
No usual address (Tas.)			112
No usual address (Tas.)		Accommodation and food services	4
No usual address (Tas.)		Administrative and support services	18
No usual address (Tas.)		Agriculture forestry and fishing	22
No usual address (Tas.)		Arts and recreation services	3
No usual address (Tas.)		Construction	42
No usual address (Tas.)		Education and training	3
No usual address (Tas.)		Health care and social assistance	9
No usual address (Tas.)		Manufacturing	3
No usual address (Tas.)		Other services	4
No usual address (Tas.)		Professional scientific and technical services	3
No usual address (Tas.)		Public administration and safety	6
No usual address (Tas.)		Retail trade	3
No usual address (Tas.)		Transport postal and warehousing	10
No usual address (Tas.)	0		39
No usual address (Tas.)	0	Accommodation and food services	6
No usual address (Tas.)	0	Administrative and support services	35
No usual address (Tas.)	0	Agriculture forestry and fishing	40
No usual address (Tas.)	0	Arts and recreation services	3
No usual address (Tas.)	0	Construction	112
No usual address (Tas.)	0	Education and training	24
No usual address (Tas.)	0	Electricity gas water and waste services	3
No usual address (Tas.)	0	Financial and insurance services	11
No usual address (Tas.)	0	Health care and social assistance	69
No usual address (Tas.)	0	Information media and telecommunications	5
No usual address (Tas.)	0	Manufacturing	14
No usual address (Tas.)	0	Mining	12
No usual address (Tas.)	0	Other services	11
No usual address (Tas.)	0	Professional scientific and technical services	12
No usual address (Tas.)	0	Public administration and safety	35
No usual address (Tas.)	0	Rental hiring and real estate services	4
No usual address (Tas.)	0	Retail trade	18
No usual address (Tas.)	0	Transport postal and warehousing	60
No usual address (Tas.)	0	Wholesale trade	5
No usual address (Tas.)	1		62
No usual address (Tas.)	1	Accommodation and food services	40
No usual address (Tas.)	1	Administrative and support services	341
No usual address (Tas.)	1	Agriculture forestry and fishing	56
No usual address (Tas.)	1	Arts and recreation services	49
No usual address (Tas.)	1	Construction	197
No usual address (Tas.)	1	Education and training	83
No usual address (Tas.)	1	Electricity gas water and waste services	6
No usual address (Tas.)	1	Financial and insurance services	4
No usual address (Tas.)	1	Health care and social assistance	275
No usual address (Tas.)	1	Information media and telecommunications	13
No usual address (Tas.)	1	Manufacturing	23
No usual address (Tas.)	1	Other services	61
No usual address (Tas.)	1	Professional scientific and technical services	91
No usual address (Tas.)	1	Public administration and safety	28
No usual address (Tas.)	1	Rental hiring and real estate services	12
No usual address (Tas.)	1	Retail trade	55
No usual address (Tas.)	1	Transport postal and warehousing	47
No usual address (Tas.)	1	Wholesale trade	15
No usual address (Tas.)	16		46
No usual address (Tas.)	16	Accommodation and food services	12
No usual address (Tas.)	16	Administrative and support services	180
No usual address (Tas.)	16	Agriculture forestry and fishing	46
No usual address (Tas.)	16	Arts and recreation services	11
No usual address (Tas.)	16	Construction	209
No usual address (Tas.)	16	Education and training	51
No usual address (Tas.)	16	Electricity gas water and waste services	7
No usual address (Tas.)	16	Health care and social assistance	193
No usual address (Tas.)	16	Information media and telecommunications	3
No usual address (Tas.)	16	Manufacturing	12
No usual address (Tas.)	16	Other services	37
No usual address (Tas.)	16	Professional scientific and technical services	49
No usual address (Tas.)	16	Public administration and safety	22
No usual address (Tas.)	16	Rental hiring and real estate services	7
No usual address (Tas.)	16	Retail trade	26
No usual address (Tas.)	16	Transport postal and warehousing	41
No usual address (Tas.)	16	Wholesale trade	9
No usual address (Tas.)	25		46
No usual address (Tas.)	25	Accommodation and food services	13
No usual address (Tas.)	25	Administrative and support services	154
No usual address (Tas.)	25	Agriculture forestry and fishing	56
No usual address (Tas.)	25	Arts and recreation services	18
No usual address (Tas.)	25	Construction	385
No usual address (Tas.)	25	Education and training	22
No usual address (Tas.)	25	Electricity gas water and waste services	3
No usual address (Tas.)	25	Health care and social assistance	180
No usual address (Tas.)	25	Information media and telecommunications	11
No usual address (Tas.)	25	Manufacturing	21
No usual address (Tas.)	25	Other services	35
No usual address (Tas.)	25	Professional scientific and technical services	42
No usual address (Tas.)	25	Public administration and safety	37
No usual address (Tas.)	25	Rental hiring and real estate services	5
No usual address (Tas.)	25	Retail trade	28
No usual address (Tas.)	25	Transport postal and warehousing	55
No usual address (Tas.)	25	Wholesale trade	8
No usual address (Tas.)	35		62
No usual address (Tas.)	35	Accommodation and food services	8
No usual address (Tas.)	35	Administrative and support services	84
No usual address (Tas.)	35	Agriculture forestry and fishing	63
No usual address (Tas.)	35	Arts and recreation services	6
No usual address (Tas.)	35	Construction	542
No usual address (Tas.)	35	Education and training	34
No usual address (Tas.)	35	Electricity gas water and waste services	10
No usual address (Tas.)	35	Financial and insurance services	4
No usual address (Tas.)	35	Health care and social assistance	77
No usual address (Tas.)	35	Information media and telecommunications	20
No usual address (Tas.)	35	Manufacturing	33
No usual address (Tas.)	35	Mining	6
No usual address (Tas.)	35	Other services	35
No usual address (Tas.)	35	Professional scientific and technical services	23
No usual address (Tas.)	35	Public administration and safety	22
No usual address (Tas.)	35	Rental hiring and real estate services	3
No usual address (Tas.)	35	Retail trade	36
No usual address (Tas.)	35	Transport postal and warehousing	49
No usual address (Tas.)	35	Wholesale trade	24
No usual address (Tas.)	40		77
No usual address (Tas.)	40	Accommodation and food services	7
No usual address (Tas.)	40	Administrative and support services	52
No usual address (Tas.)	40	Agriculture forestry and fishing	121
No usual address (Tas.)	40	Arts and recreation services	9
No usual address (Tas.)	40	Construction	1008
No usual address (Tas.)	40	Education and training	18
No usual address (Tas.)	40	Electricity gas water and waste services	14
No usual address (Tas.)	40	Financial and insurance services	3
No usual address (Tas.)	40	Health care and social assistance	45
No usual address (Tas.)	40	Information media and telecommunications	27
No usual address (Tas.)	40	Manufacturing	39
No usual address (Tas.)	40	Mining	8
No usual address (Tas.)	40	Other services	41
No usual address (Tas.)	40	Professional scientific and technical services	35
No usual address (Tas.)	40	Public administration and safety	31
No usual address (Tas.)	40	Rental hiring and real estate services	8
No usual address (Tas.)	40	Retail trade	32
No usual address (Tas.)	40	Transport postal and warehousing	61
No usual address (Tas.)	40	Wholesale trade	23
No usual address (Tas.)	41		29
No usual address (Tas.)	41	Administrative and support services	42
No usual address (Tas.)	41	Agriculture forestry and fishing	63
No usual address (Tas.)	41	Construction	395
No usual address (Tas.)	41	Education and training	6
No usual address (Tas.)	41	Electricity gas water and waste services	5
No usual address (Tas.)	41	Health care and social assistance	20
No usual address (Tas.)	41	Information media and telecommunications	18
No usual address (Tas.)	41	Manufacturing	22
No usual address (Tas.)	41	Mining	10
No usual address (Tas.)	41	Other services	19
No usual address (Tas.)	41	Professional scientific and technical services	15
No usual address (Tas.)	41	Public administration and safety	22
No usual address (Tas.)	41	Rental hiring and real estate services	6
No usual address (Tas.)	41	Retail trade	11
No usual address (Tas.)	41	Transport postal and warehousing	31
No usual address (Tas.)	41	Wholesale trade	11
No usual address (Tas.)	49		60
No usual address (Tas.)	49	Accommodation and food services	9
No usual address (Tas.)	49	Administrative and support services	49
No usual address (Tas.)	49	Agriculture forestry and fishing	229
No usual address (Tas.)	49	Arts and recreation services	11
No usual address (Tas.)	49	Construction	481
No usual address (Tas.)	49	Education and training	5
No usual address (Tas.)	49	Electricity gas water and waste services	13
No usual address (Tas.)	49	Financial and insurance services	4
No usual address (Tas.)	49	Health care and social assistance	49
No usual address (Tas.)	49	Information media and telecommunications	18
No usual address (Tas.)	49	Manufacturing	39
No usual address (Tas.)	49	Mining	31
No usual address (Tas.)	49	Other services	36
No usual address (Tas.)	49	Professional scientific and technical services	40
No usual address (Tas.)	49	Public administration and safety	29
No usual address (Tas.)	49	Rental hiring and real estate services	4
No usual address (Tas.)	49	Retail trade	22
No usual address (Tas.)	49	Transport postal and warehousing	163
No usual address (Tas.)	49	Wholesale trade	37
Darwin			675
Darwin		Accommodation and food services	81
Darwin		Administrative and support services	28
Darwin		Agriculture forestry and fishing	21
Darwin		Arts and recreation services	20
Darwin		Construction	125
Darwin		Education and training	63
Darwin		Electricity gas water and waste services	18
Darwin		Financial and insurance services	6
Darwin		Health care and social assistance	93
Darwin		Information media and telecommunications	16
Darwin		Manufacturing	22
Darwin		Mining	18
Darwin		Other services	38
Darwin		Professional scientific and technical services	41
Darwin		Public administration and safety	165
Darwin		Rental hiring and real estate services	9
Darwin		Retail trade	77
Darwin		Transport postal and warehousing	50
